#;NAME;;P0;;;P1;;;F0;;;F1;;;AGE;BSURF;EDOT;
;;;(s);;;;;;(Hz);;;(s^-2);;;(Yr);(G);(ergs/s);
85;B0136+57;dth78;0.272450630950;1.5e-11;hlk+04;1.071167E-14;1.2e-19;hlk+04;3.67038973818;2.0e-10;hlk+04;-1.443051E-13;1.5e-18;hlk+04;4.03e+05;1.73e+12;2.1e+34;
86;B0138+59;mth72;1.2229485205457;1.8e-12;hlk+04;3.91070E-16;1.4e-20;hlk+04;0.8176959072274;1.2e-12;hlk+04;-2.61480E-16;9.0e-21;hlk+04;4.95e+07;7e+11;8.4e+30;
87;J0141+63;slr+14;0.04668588;4.9e-07;slr+14;*;0;*;21.4198;3.0e-04;slr+14;*;0;*;*;*;*;
88;J0146+31;ttol16;0.9381;0;ttol16;*;0;*;1.065984;0;ttol16;*;0;*;*;*;*;
89;J0146+6145;ims94;8.6889941;4.0e-07;dk14;1.99E-12;5.0e-14;dk14;0.115088121;5.0e-09;dk14;-2.64E-14;6.0e-16;dk14;6.91e+04;1.33e+14;1.2e+32;
90;B0144+59;stwd85;0.19632137543003;1.6e-13;ywml10;2.56763E-16;8.0e-21;ywml10;5.093688844679;4.0e-12;ywml10;-6.6619E-15;2.0e-19;ywml10;1.21e+07;2.27e+11;1.3e+33;
91;B0148-06;mlt+78;1.464664549334;7.0e-12;hlk+04;4.4259E-16;5.0e-20;hlk+04;0.682750190448;3.0e-12;hlk+04;-2.06313E-16;1.9e-20;hlk+04;5.24e+07;8.15e+11;5.6e+30;
92;J0152+0948;clm+05;2.74664729014;1.0e-10;clm+05;1.700E-15;4.0e-18;clm+05;0.364080238329;1.4e-11;clm+05;-2.253E-16;6.0e-19;clm+05;2.56e+07;2.19e+12;3.2e+30;
93;B0149-16;mlt+78;0.8327416126878;1.3e-12;hlk+04;1.299202E-15;6.0e-21;hlk+04;1.2008526831899;1.8e-12;hlk+04;-1.873510E-15;8.0e-21;hlk+04;1.02e+07;1.05e+12;8.9e+31;
94;J0154+1833;mgf+19;0.0023645697763006;5.0e-16;mgf+19;2.919E-21;1.2e-23;mgf+19;422.90991368608;8.0e-11;mgf+19;-0.522E-15;2.0e-18;mgf+19;1.28e+10;8.41e+07;8.7e+33;
95;J0156+04;dsm+16;*;0;*;*;0;*;*;0;*;*;0;*;*;*;*;
96;B0153+39;dtws85;1.81156061131;1.0e-10;hlk+04;1.516E-16;1.0e-18;hlk+04;0.55201023568;3.0e-11;hlk+04;-4.62E-17;3.0e-19;hlk+04;1.89e+08;5.3e+11;1.0e+30;
97;B0154+61;dls72;2.35174493646;7.0e-11;hlk+04;1.889254E-13;5.0e-19;hlk+04;0.425216180759;1.1e-11;hlk+04;-3.415937E-14;9.0e-20;hlk+04;1.97e+05;2.13e+13;5.7e+32;
98;J0158+21;dsm+13;0.5053;0;dsm+13;*;0;*;1.979022;0;dsm+13;*;0;*;*;*;*;
99;J0201+7005;kkl+15;1.349184471846;1.0e-11;kkl+15;5.5144E-15;1.5e-18;kkl+15;0.741188488948;5.0e-12;kkl+15;-3.0294E-15;8.0e-19;kkl+15;3.88e+06;2.76e+12;8.9e+31;
100;J0205+6449;mss+02;0.06571592849324;9.0e-14;lrc+09;1.93754256E-13;4.0e-21;lrc+09;15.21701089718;2.0e-11;lrc+09;-4.48652358E-11;9.0e-19;lrc+09;5.37e+03;3.61e+12;2.7e+37;
101;B0203-40;mlt+78;0.630551259569;4.0e-12;jbv+19;1.1966E-15;3.0e-19;jbv+19;1.585913888562;9.0e-12;jbv+19;-3.0095E-15;7.0e-19;jbv+19;8.35e+06;8.79e+11;1.9e+32;
102;J0210+5845;scb+19;1.766208099;2.0e-09;tbc+20;134.02E-15;2.0e-17;tbc+20;0.5661846985;7.0e-10;tbc+20;-4.2962E-14;7.0e-18;tbc+20;2.09e+05;1.56e+13;9.6e+32;
103;J0211-8159;lml+98;1.0773327013;8.0e-10;dsb+98;2.9E-16;2.0e-17;dsb+98;0.9282183663;7.0e-10;dsb+98;-2.50E-16;1.8e-17;dsb+98;5.89e+07;5.66e+11;9.2e+30;
104;J0212+5222;bck+13;0.3763863640606;1.5e-12;lsk+18;6.5993E-15;1.3e-18;lsk+18;2.65684439046;1.0e-11;lsk+18;-4.6583E-14;9.0e-18;lsk+18;9.04e+05;1.59e+12;4.9e+33;
105;J0214+5222;slr+14;0.02457529479071;2.2e-13;slr+14;2.99E-19;1.0e-20;slr+14;40.6912718043;4.0e-10;slr+14;-4.95E-16;1.7e-17;slr+14;1.3e+09;2.74e+09;8.0e+32;
106;J0215+6218;llc98;0.548879819155;3.0e-12;hlk+04;6.6212E-16;3.0e-20;hlk+04;1.821892452777;9.0e-12;hlk+04;-2.19776E-15;9.0e-20;hlk+04;1.31e+07;6.1e+11;1.6e+32;
107;J0218+4232;nbf+95;0.00232309053151224;8.0e-17;dcl+16;7.73955E-20;7.0e-25;dcl+16;430.461054545748;1.5e-11;dcl+16;-1.434113E-14;1.3e-19;dcl+16;4.76e+08;4.29e+08;2.4e+35;
